time,wx,wy,wz
1.760,-0.63,0.44,-1.57
1.763,-0.66,0.50,-1.53
1.765,-0.69,0.53,-1.49
1.767,-0.72,0.53,-1.45
1.769,-0.77,0.52,-1.42
1.773,-0.80,0.50,-1.39
1.775,-0.83,0.45,-1.36
1.776,-0.85,0.41,-1.32
1.779,-0.84,0.34,-1.30
1.781,-0.83,0.23,-1.27
1.783,-0.80,0.17,-1.26
1.786,-0.78,0.11,-1.25
1.788,-0.71,0.05,-1.25
1.790,-0.66,0.01,-1.26
1.793,-0.60,0.00,-1.27
1.795,-0.52,0.01,-1.28
1.797,-0.45,0.08,-1.29
1.800,-0.36,0.15,-1.31
1.802,-0.29,0.23,-1.33
1.804,-0.24,0.34,-1.35
1.807,-0.21,0.46,-1.38
1.809,-0.19,0.56,-1.41
1.811,-0.21,0.66,-1.44
1.814,-0.23,0.75,-1.48
1.816,-0.29,0.82,-1.51
1.818,-0.36,0.88,-1.53
1.821,-0.42,0.94,-1.54
1.823,-0.50,0.97,-1.53
1.825,-0.59,1.02,-1.50
1.828,-0.68,1.08,-1.47
1.830,-0.78,1.13,-1.44
1.832,-0.87,1.18,-1.41
1.835,-0.95,1.19,-1.38
1.838,-1.02,1.18,-1.36
1.839,-1.10,1.19,-1.33
1.842,-1.18,1.18,-1.29
1.844,-1.23,1.17,-1.25
1.846,-1.28,1.13,-1.22
1.849,-1.32,1.07,-1.19
1.851,-1.33,1.03,-1.17
1.856,-1.33,1.00,-1.16
1.856,-1.30,0.98,-1.15
1.858,-1.27,0.96,-1.15
1.860,-1.20,0.95,-1.15
1.863,-1.14,0.93,-1.16
